Provinsi,2011,2012,2013,2014,2015,2016,2017
ACEH,6.07,5.576666667,4.833333333,3.773333333,3.456666667,3.266666667,3.003333333
SUMATERA UTARA,3.886666667,3.363333333,2.726666667,1.76,1.636666667,1.4,1.376666667
SUMATERA BARAT,4.643333333,4.076666667,3.22,1.903333333,1.76,1.473333333,1.403333333
RIAU,3.63,3.323333333,3.093333333,1.773333333,1.626666667,1.343333333,1.2
JAMBI,6.223333333,5.62,4.486666667,3.046666667,2.903333333,2.666666667,2.563333333
SUMATERA SELATAN,4.536666667,4.246666667,3.72,2.48,2.33,2.023333333,1.916666667
BENGKULU,6.686666667,6.063333333,4.873333333,3.406666667,3.206666667,3.053333333,2.853333333
LAMPUNG,6.73,6.646666667,5.553333333,4.596666667,4.396666667,4.22,4.026666667
KEP. BANGKA BELITUNG,5.7,5.543333333,4.696666667,3.083333333,3.033333333,2.94,2.813333333
KEP. RIAU,4.123333333,3.856666667,3.423333333,2.096666667,1.973333333,1.846666667,1.78
DKI JAKARTA,1.603333333,1.426666667,1.236666667,0.66,0.576666667,0.476666667,0.436666667
JAWA BARAT,5.693333333,5.256666667,4.336666667,2.67,2.576666667,2.303333333,2.246666667
JAWA TENGAH,11.74,11.52333333,10.08666667,8.116666667,7.826666667,7.603333333,7.45
YOGYAKARTA,10.21666667,9.17,8.303333333,6.453333333,6.163333333,6.056666667,5.98
JAWA TIMUR,13.88333333,12.84666667,11.30666667,9.91,9.67,9.446666667,9.153333333
BANTEN,6,5.403333333,5.003333333,4.15,3.883333333,3.646666667,3.536666667
BALI,13.40333333,12.10666667,11.16,9.073333333,8.716666667,8.563333333,8.36
NUSA TENGGARA BARAT,21.91,21.66,19.59,16.96666667,16.70666667,16.55666667,16.32666667
NUSA TENGGARA TIMUR,14.46,13.33666667,11.57666667,10.72333333,10.37333333,10.32,10.10666667
KALIMANTAN BARAT,13.27666667,12.24,11.48666667,10.31333333,10.15333333,9.973333333,9.826666667
KALIMANTAN TENGAH,4.56,3.486666667,2.923333333,1.686666667,1.58,1.47,1.263333333
KALIMANTAN SELATAN,5.916666667,5.17,4.113333333,2.516666667,2.46,2.346666667,2.133333333
KALIMANTAN TIMUR,4.556666667,3.846666667,3.603333333,2.116666667,1.926666667,1.706666667,1.426666667
KALIMANTAN UTARA,-,-,-,-,7.086666667,6.89,6.596666667
SULAWESI UTARA,1.37,1.293333333,0.983333333,0.45,0.416666667,0.226666667,0.25
SULAWESI TENGAH,6.96,6.57,5.03,3.583333333,3.33,3.1,2.846666667
SULAWESI SELATAN,15.05666667,14.08666667,12.19666667,10.92,10.75666667,10.45333333,10.22
SULAWESI TENGGARA,12.49333333,12.13333333,10.27333333,8.23,8.113333333,7.913333333,7.743333333
GORONTALO,6.393333333,5.79,3.963333333,2.543333333,2.24,1.97,1.956666667
SULAWESI BARAT,15.47333333,14.04666667,11.72333333,9.773333333,9.353333333,9.223333333,9.046666667
MALUKU,4.096666667,3.53,2.563333333,1.416666667,1.303333333,1.19,0.91
MALUKU UTARA,5.573333333,4.94,3.566666667,2.293333333,2.086666667,1.84,1.783333333
PAPUA BARAT,8.94,7.776666667,5.516666667,3.96,3.843333333,3.563333333,3.443333333
PAPUA,36.30333333,35.90333333,33.78333333,29.85666667,29.73666667,29.53333333,27.07666667
